Year,Player,Selling club,Buying club,Fee (£),"Fee (UK£, after adjusted inflation)",Percentage change from last record (+ %)
1893,Willie Groves,West Bromwich Albion,Aston Villa,100.00,10179.00,0
1903,Ben Green,Barnsley,Small Heath,500.00,49273.00,400
1904,Andy McCombie,Sunderland,Newcastle United,700.00,69215.00,40
1905,Alf Common,Sunderland,Middlesbrough,1000.00,98547.00,42
1913,Daniel Shea,West Ham United,Blackburn Rovers,2000.00,180606.00,100
1913,Tommy Barber,Bolton Wanderers,Aston Villa,2000.00,180606.00,0
1914,Percy Dawson,Heart of Midlothian,Blackburn Rovers,2500.00,220182.00,25
1920,David Jack,Plymouth Argyle,Bolton Wanderers,3500.00,129019.00,40
1922,Syd Puddefoot,West Ham United,Falkirk,5000.00,250564.00,43
1922,Warney Cresswell,South Shields,Sunderland,5500.00,275621.00,8
1925,Bob Kelly,Burnley,Sunderland,6500.00,340224.00,18
1928,David Jack,Bolton Wanderers,Arsenal,10890.00,602148.00,68
1932,Bernabé Ferreyra,Tigre,River Plate,23000.00,1465238.00,111
1949,Johnny Morris,Manchester United,Derby County,24000.00,778165.00,4
1949,Eddie Quigley,Sheffield Wednesday,Preston North End,26500.00,859224.00,10
1950,Trevor Ford,Aston Villa,Sunderland,30000.00,943332.00,13
1951,Jackie Sewell,Notts County,Sheffield Wednesday,34500.00,994474.00,15
1952,Hans Jeppson,Atalanta,Napoli,52000.00,1373110.00,51
1954,Juan Schiaffino,Peñarol,Milan,72000.00,1809071.00,38
1957,Enrique Omar Sivori,River Plate,Juventus,93000.00,2057699.00,29
1961,Luis Suárez,Barcelona,Internazionale,152000.00,3105049.00,63
1963,Angelo Sormani,Mantova,Roma,250000.00,4804222.00,64
1967,Harald Nielsen,Bologna,Internazionale,300000.00,4997098.00,20
1968,Pietro Anastasi,Varese,Juventus,500000.00,7957866.00,67
1973,Johan Cruyff,Ajax,Barcelona,922000.00,10232704.00,84
1975,Giuseppe Savoldi,Bologna,Napoli,1200000.00,9237684.00,30
1976,Paolo Rossi,Juventus,Vicenza,1750000.00,11559097.00,46
1982,Diego Maradona,Boca Juniors,Barcelona,3000000.00,9716083.00,71
1984,Diego Maradona,Barcelona,Napoli,5000000.00,14748314.00,67
1987,Ruud Gullit,PSV Eindhoven,Milan,6000000.00,15488011.00,20
1990,Roberto Baggio,Fiorentina,Juventus,8000000.00,16686521.00,33
1992,Jean-Pierre Papin,Marseille,Milan,10000000.00,18991397.00,25
1992,Gianluca Vialli,Sampdoria,Juventus,12000000.00,22789677.00,20
1992,Gianluigi Lentini,Torino,Milan,13000000.00,24688816.00,8
1996,Ronaldo,PSV Eindhoven,Barcelona,13200000.00,22738197.00,2
1996,Alan Shearer,Blackburn Rovers,Newcastle United,15000000.00,25838860.00,14
1997,Ronaldo,Barcelona,Internazionale,19500000.00,32568737.00,30
1998,Denílson,São Paulo,Real Betis,21500000.00,34718967.00,10
1999,Christian Vieri,Lazio,Internazionale,32000000.00,51049447.00,49
2000,Hernán Crespo,Parma,Lazio,35500000.00,54834955.00,11
2000,Luís Figo,Barcelona,Real Madrid,37000000.00,57151924.00,4
2001,Zinedine Zidane,Juventus,Real Madrid,46600000.00,69816449.00,26
2009,Kaká,Milan,Real Madrid,56000000.00,68933036.00,20
2009,Cristiano Ronaldo,Manchester United,Real Madrid,80000000.00,98475766.00,43
2013,Gareth Bale,Tottenham Hotspur,Real Madrid,86000000.00,90454903.00,8
2016,Paul Pogba,Juventus,Manchester United,89000000.00,89000000.00,3
2017,Neymar,Barcelona,Paris Saint-Germain,198000000.00,198000000.00,125
